Word	Type
ciliate	microorganism_n1
cilium	body_part_n1
cinder	Thing
cinema	artifact_n1
cinnamon	Thing
circle	shape_n2
circuit	device_n1
circulation	event_n1
circumference	property_n3
circumstance	state_n4
circus	social_group_n1
cirrhosis	illness_n1
cirrocumulus	phenomenon_n1
cirrostratus	phenomenon_n1
cirrus	phenomenon_n1
cistern	body_part_n1
citation	Thing
citizen	person_n1
citrus	substance_n1
city	location_n1
civet	animal_n1
civilisation	social_group_n1
civilization	social_group_n1
cl	definite_quantity_n1
clade	Thing
cladogram	shape_n2
clam	animal_n1
clamp	device_n1
clank	sound_n4
clapper	body_part_n1
clarification	message_n2
clarinet	device_n1
clarity	quality_n1
clash	sound_n4
class	Thing
classification	activity_n1
classmate	person_n1
classroom	artifact_n1
claw	body_part_n1
clay	material_n1
cleaner	material_n1
cleanliness	Thing
clearance	Thing
cleavage	state_n4
cleft	shape_n2
cleverness	knowledge_n1
cliff	formation_n5
climate	state_n4
climatology	knowledge_n1
climber	plant_n2
clinic	social_group_n1
clipboard	artifact_n1
clipper	device_n1
clipping	auditory_communication_n1
cloaca	artifact_n1
cloak	artifact_n1
cloakroom	artifact_n1
clock	measuring_instrument_n1
clockwork	device_n1
closet	artifact_n1
cloth	artifact_n1
clothes	clothing_n1
clothesline	artifact_n1
clothing	clothing_n1
cloud	phenomenon_n1
clover	plant_n2
clown	person_n1
club	social_group_n1
cluck	sound_n4
clue	Thing
clump	Thing
cluster	Thing
cm	definite_quantity_n1
cnidarian	animal_n1
coach	person_n1
coal	substance_n1
coast	formation_n5
coaster	artifact_n1
coastline	location_n1
coat	clothing_n1
coati	animal_n1
coating	artifact_n1
cob	plant_part_n1
cobalt	element_n2
cobra	animal_n1
cobweb	material_n1
cocaine	Thing
cochlea	body_part_n1
cock-a-doodle-doo	sound_n4
cockatiel	bird_n1
cockatoo	bird_n1
cockerel	bird_n1
cocklebur	plant_n2
cockroach	insect_n1
coco	plant_n2
cocoa	food_n1
coconut	substance_n1
cocoon	Thing
cod	fish_n1
code	written_language_n1
codfish	Thing
codon	Thing
coelacanth	fish_n1
coelenteron	body_part_n1
coelom	body_part_n1
coenzyme	Thing
coffee	food_n1
coffin	artifact_n1
cognition	knowledge_n1
coho	substance_n1
coin	Thing
coinage	Thing
coincidence	event_n1
cola	food_n1
coldness	process_n2
cole	plant_n2
collagen	material_n1
collar	artifact_n1
collection	Thing
collector	person_n1
college	social_group_n1
collision	event_n1
colloid	substance_n1
colobus	animal_n1
colon	body_part_n1
colonization	action_n1
colony	social_group_n1
color	property_n3
coloration	property_n3
colugo	animal_n1
columbite	material_n1
column	Thing
coma	state_n4
comb	device_n1
combat	event_n1
combination	Thing
combustion	phenomenon_n1
comet	Thing
comfort	state_n4
command	event_n1
commensalism	Thing
commerce	event_n1
commission	social_group_n1
commissioner	person_n1
commitment	Thing
committee	social_group_n1
commodity	artifact_n1
commonality	quality_n1
commotion	state_n4
communication	event_n1
community	social_group_n1
commutator	device_n1
commuter	person_n1
compaction	event_n1
compactness	Thing
companion	person_n1
companionship	state_n4
company	social_group_n1
comparison	activity_n1
compartment	artifact_n1
compass	device_n1
competition	Thing
complement	knowledge_n1
completion	action_n1
complexity	quality_n1
compliance	event_n1
compliment	message_n2
component	knowledge_n1
composite	knowledge_n1
composition	artifact_n1
compost	substance_n1
compound	material_n1
comprehension	process_n2
compression	event_n1
compromise	event_n1
compulsion	Thing
computation	activity_n1
computer	device_n1
concentration	property_n3
concept	knowledge_n1
conception	phenomenon_n1
concern	state_n4
concert	event_n1
concession	written_language_n1
conclusion	knowledge_n1
concrete	artifact_n1
condensation	phenomenon_n1
condition	state_n4
conditioner	activity_n1
condom	device_n1
conductance	phenomenon_n1
conduction	phenomenon_n1
conductivity	phenomenon_n1
conductor	material_n1
conduit	artifact_n1
cone	artifact_n1
coney	fish_n1
conference	social_group_n1
confetti	material_n1
confidence	state_n4
confinement	activity_n1
conflict	event_n1
conformity	quality_n1
confusion	state_n4
conger	fish_n1
congestion	knowledge_n1
congratulation	event_n1
conifer	plant_n2
conjunction	property_n3
conjuror	person_n1
conker	plant_part_n1
connection	Thing
connotation	message_n2
consensus	state_n4
consent	message_n2
consequence	phenomenon_n1
conservation	event_n1
consideration	process_n2
consortium	social_group_n1
constable	person_n1
constellation	Thing
constipation	knowledge_n1
constituent	Thing
constraint	state_n4
constriction	property_n3
constrictor	animal_n1
construction	activity_n1
consultant	person_n1
consumption	phenomenon_n1
contact	state_n4
container	artifact_n1
contamination	state_n4
content	Thing
contest	event_n1
context	state_n4
continent	Thing
contingent	social_group_n1
continuity	state_n4
continuum	Thing
contour	Thing
contract	written_language_n1
contraction	action_n1
contractor	person_n1
contribution	activity_n1
contributor	person_n1
controversy	event_n1
convection	phenomenon_n1
convenience	quality_n1
convent	building_n1
convention	social_group_n1
conversation	auditory_communication_n1
conversion	event_n1
conveyer	person_n1
conveyor	person_n1
cookbook	artifact_n1
cooker	artifact_n1
cookery	action_n1
cookie	substance_n1
coolant	substance_n1
coop	building_n1
cooperation	event_n1
coot	bird_n1
cop	person_n1
copper	element_n2
copula	Thing
copy	artifact_n1
coral	property_n3
cord	artifact_n1
cordgrass	plant_n2
core	location_n1
cork	material_n1
corkscrew	tool_n1
corn	plant_n2
cornea	body_part_n1
corner	location_n1
cornet	device_n1
corneum	location_n1
cornfield	location_n1
corona	phenomenon_n1
coronation	event_n1
corporation	social_group_n1
corpus	Thing
correlation	Thing
correspondence	written_language_n1
corrosion	state_n4
cortex	body_part_n1
corticosteroid	substance_n1
cortisol	substance_n1
cosine	Thing
cost	quality_n1
costa	body_part_n1
costume	clothing_n1
cot	artifact_n1
cottage	building_n1
cotton	material_n1
cottonmouth	animal_n1
cottontail	animal_n1
cotyledon	plant_part_n1
cougar	animal_n1
cough	knowledge_n1
council	social_group_n1
counsel	person_n1
counselor	person_n1
counter	artifact_n1
counterfeiter	person_n1
countertop	artifact_n1
country	location_n1
countryside	location_n1
county	location_n1
couple	indefinite_quantity_n1
courage	Thing
courgette	plant_n2
courier	person_n1
course	Thing
court	social_group_n1
courtesy	action_n1
courtier	person_n1
courtyard	location_n1
cousin	person_n1
cove	water_n2
coverage	property_n3
covering	Thing
cow	animal_n1
coward	person_n1
cowboy	person_n1
cowman	person_n1
cowshed	building_n1
cox	person_n1
coyote	animal_n1
crab	animal_n1
crack	location_n1
cracker	substance_n1
craft	transport_n1
crake	bird_n1
cranium	body_part_n1
cranny	shape_n2
crash	event_n1
crate	artifact_n1
crater	shape_n2
crayon	artifact_n1
cream	food_n1
creation	activity_n1
creativity	knowledge_n1
creature	animal_n1
credit	message_n2
creed	knowledge_n1
creek	water_n2
creep	event_n1
creeper	plant_n2
creepy-crawly	animal_n1
crescent	shape_n2
crest	location_n1
cretin	person_n1
crevasse	shape_n2
crevice	shape_n2
crew	social_group_n1
cricket	insect_n1
crime	activity_n1
criminal	person_n1
crisis	state_n4
criterion	Thing
criticism	message_n2
critter	animal_n1
croak	auditory_communication_n1
crockery	artifact_n1
crocodile	animal_n1
crocodilian	animal_n1
crocus	plant_n2
crook	person_n1
crop	event_n1
crowbar	artifact_n1
crowd	social_group_n1
crust	location_n1
crystal	substance_n1
crystallization	phenomenon_n1
cube	shape_n2
cuckoo	bird_n1
cucumber	plant_n2
cud	food_n1
cuff	artifact_n1
culprit	person_n1
culture	social_group_n1
cumulonimbus	phenomenon_n1
cumulus	phenomenon_n1
cunning	knowledge_n1
cup	artifact_n1
cupboard	artifact_n1
curb	activity_n1
curd	food_n1
curiosity	state_n4
currant	plant_part_n1
current	phenomenon_n1
curriculum	message_n2
curry	food_n1
cursor	device_n1
curtain	artifact_n1
curve	property_n3
cuscus	animal_n1
cushion	artifact_n1
custard	food_n1
custom	activity_n1
customer	person_n1
cuticle	location_n1
cutlass	device_n1
cutlery	tool_n1
cuttlefish	animal_n1
cyanobacteria	microorganism_n1
cycad	plant_n2
cycle	Thing
cyclist	person_n1
cyclone	phenomenon_n1
cygnet	bird_n1
cylinder	artifact_n1
cymbal	device_n1
cynicism	feeling_n1
cynodont	animal_n1
cyst	state_n4
cytokine	material_n1
cytokinesis	phenomenon_n1
cytoplasm	substance_n1
cytosine	material_n1
cytoskeleton	body_part_n1
cytosol	substance_n1
dad	person_n1
daddy	person_n1
daffodil	plant_n2
dairy	location_n1
daisy	plant_n2
dale	formation_n5
dam	artifact_n1
damage	event_n1
dance	artifact_n1
dancer	person_n1
dandelion	plant_n2
danger	state_n4
darkness	state_n4
darling	person_n1
dart	device_n1
dash	action_n1
dashboard	device_n1
dassie	animal_n1
data	Thing
database	message_n2
date	Thing
daughter	person_n1
dawn	knowledge_n1
day	Thing
daybreak	knowledge_n1
daydream	knowledge_n1
daylight	period_n1
daytime	period_n1
dearie	person_n1
death	event_n1
debate	auditory_communication_n1
debris	material_n1
debt	state_n4
decade	period_n1
decagram	definite_quantity_n1
decapod	animal_n1
decay	phenomenon_n1
decease	event_n1
deceased	person_n1
deceit	quality_n1
deception	message_n2
decision	knowledge_n1
deck	artifact_n1
decomposition	phenomenon_n1
decoration	artifact_n1
decoy	device_n1
deduction	process_n2
deer	animal_n1
default	process_n2
defect	state_n4
defence	social_group_n1
defender	person_n1
defense	activity_n1
deficiency	state_n4
deficit	property_n3
definition	message_n2
deflation	Thing
deforestation	action_n1
deformity	state_n4
degenerate	person_n1
degeneration	phenomenon_n1
degradation	action_n1
degree	property_n3
dehydration	state_n4
deinonychus	animal_n1
deletion	action_n1
delicacy	food_n1
delight	feeling_n1
delivery	action_n1
delta	formation_n5
deluge	phenomenon_n1
demography	knowledge_n1
demoiselle	person_n1
demolition	event_n1
demonstration	activity_n1
den	location_n1
dendrite	material_n1
denial	event_n1
denim	clothing_n1
density	property_n3
dentist	person_n1
dentistry	knowledge_n1
deoxyribose	material_n1
department	social_group_n1
departure	action_n1
dependence	state_n4
dependency	state_n4
depiction	message_n2
depletion	action_n1
deposition	phenomenon_n1
depression	state_n4
depth	property_n3
deputy	person_n1
dermis	location_n1
descendant	person_n1
descent	event_n1
description	message_n2
desert	location_n1
design	activity_n1
designation	Thing
designer	person_n1
desirability	quality_n1
desire	feeling_n1
desk	artifact_n1
despair	state_n4
desperation	state_n4
despite	feeling_n1
dessert	food_n1
destination	location_n1
destruction	action_n1
detail	knowledge_n1
detection	process_n2
detective	person_n1
detector	device_n1
deterioration	state_n4
determinant	knowledge_n1
determination	action_n1
deterrent	knowledge_n1
detritus	material_n1
developer	person_n1
development	phenomenon_n1
deviation	event_n1
device	measuring_instrument_n1
devil	knowledge_n1
dew	phenomenon_n1
dhole	animal_n1
diabetes	illness_n1
diagnosis	action_n1
diagram	artifact_n1
dialysis	activity_n1
diameter	property_n3
diamond	artifact_n1
diamondback	animal_n1
diaper	clothing_n1
diaphragm	body_part_n1
diarrhea	knowledge_n1
diarrhoea	knowledge_n1
diary	written_language_n1
diatom	microorganism_n1
dice	artifact_n1
dicotyledon	plant_n2
dictator	person_n1
dictionary	artifact_n1
diet	food_n1
difference	quality_n1
differentiation	process_n2
difficulty	activity_n1
diffraction	phenomenon_n1
diffusion	phenomenon_n1
digestion	phenomenon_n1
digger	person_n1
digit	definite_quantity_n1
dilation	event_n1
dill	plant_n2
dilution	substance_n1
dime	Thing
dimension	property_n3
dimetrodon	animal_n1
dimorphism	phenomenon_n1
din	sound_n4
diner	person_n1
dinghy	transport_n1
dingo	animal_n1
dinner	food_n1
dinoflagellate	microorganism_n1
dinosaur	animal_n1
diode	device_n1
diorite	material_n1
dioxide	material_n1
dipper	artifact_n1
direction	Thing
director	person_n1
dirk	device_n1
dirt	material_n1
disability	state_n4
disadvantage	quality_n1
disappearance	action_n1
disaster	state_n4
disbelief	state_n4
disc	device_n1
discharge	event_n1
disco	artifact_n1
discourse	Thing
discovery	action_n1
discrepancy	quality_n1
discussion	event_n1
disease	illness_n1
disguise	quality_n1
dish	artifact_n1
disharmony	property_n3
dishwasher	artifact_n1
disintegration	state_n4
disk	shape_n2
dismay	feeling_n1
disorder	state_n4
dispersal	action_n1
dispersion	event_n1
displacement	event_n1
disposal	quality_n1
disposition	Thing
disruption	event_n1
dissimilarity	quality_n1
distance	Thing
distaste	feeling_n1
distinction	process_n2
distress	feeling_n1
distribution	knowledge_n1
district	location_n1
disturbance	activity_n1
disuse	state_n4
ditch	artifact_n1
ditty	auditory_communication_n1
diver	person_n1
diversification	action_n1
diversion	activity_n1
diversity	quality_n1
division	action_n1
divorce	event_n1
dobson	animal_n1
doc	person_n1
doctor	person_n1
doctrine	knowledge_n1
document	written_language_n1
documentation	message_n2
doddle	activity_n1
dodo	bird_n1
dog	animal_n1
doggy	animal_n1
dogma	knowledge_n1
dole	Thing
doll	artifact_n1
dollar	definite_quantity_n1
dollop	indefinite_quantity_n1
dolly	transport_n1
dolphin	animal_n1
domain	state_n4
dome	shape_n2
domestication	phenomenon_n1
dominance	property_n3
domino	clothing_n1
donkey	process_n2
donut	substance_n1
door	artifact_n1
doorbell	device_n1
doorknob	Thing
doormat	person_n1
doorstep	device_n1
doorway	artifact_n1
dormancy	state_n4
dormouse	animal_n1
dose	Thing
dot	shape_n2
double-decker	transport_n1
doubloon	Thing
doubt	state_n4
dough	food_n1
doughnut	shape_n2
dove	bird_n1
downpour	phenomenon_n1
downside	knowledge_n1
dozen	definite_quantity_n1
dragonfly	insect_n1
drainage	action_n1
drainpipe	artifact_n1
drake	bird_n1
drama	written_language_n1
dramatization	activity_n1
draught	indefinite_quantity_n1
drawback	quality_n1
drawer	artifact_n1
drawing	Thing
dray	transport_n1
dream	process_n2
drink	indefinite_quantity_n1
driver	Thing
driveway	artifact_n1
drizzle	phenomenon_n1
drone	insect_n1
droplet	indefinite_quantity_n1
dropper	measuring_instrument_n1
drought	state_n4
drowsiness	state_n4
drug	Thing
drum	device_n1
drumlin	Thing
drummer	person_n1
dryer	artifact_n1
dryness	state_n4
duchess	person_n1
duck	bird_n1
duckling	substance_n1
duckweed	plant_n2
duct	body_part_n1
dud	event_n1
dugong	animal_n1
duke	person_n1
dullness	knowledge_n1
dumper	transport_n1
dumpling	substance_n1
dune	formation_n5
dung	material_n1
dungeon	artifact_n1
duodenum	body_part_n1
duplicate	artifact_n1
duplication	artifact_n1
durability	property_n3
duration	period_n1
dusk	knowledge_n1
dust	material_n1
dustbin	artifact_n1
duster	phenomenon_n1
dustman	person_n1
dustpan	indefinite_quantity_n1
duty	activity_n1
duvet	artifact_n1
dwarf	person_n1
dweller	person_n1
dye	material_n1
dynamo	device_n1
dyne	definite_quantity_n1
eagle	bird_n1
ear	body_part_n1
eardrum	body_part_n1
earlobe	body_part_n1
earphone	device_n1
earring	artifact_n1
earth	material_n1
earthenware	artifact_n1
earthquake	phenomenon_n1
earthworm	animal_n1
earwig	insect_n1
ease	quality_n1
eater	person_n1
echidna	animal_n1
echinoderm	animal_n1
echo	property_n3
echolocation	action_n1
eclipse	event_n1
ecologist	person_n1
ecology	state_n4
economics	knowledge_n1
economist	person_n1
economy	Thing
ecosystem	Thing
ectoderm	body_part_n1
ectotherm	animal_n1
edaphosaurus	animal_n1
edge	location_n1
editor	person_n1
education	activity_n1
educator	person_n1
eel	substance_n1
effect	phenomenon_n1
effectiveness	quality_n1
efficiency	Thing
effort	activity_n1
egg	Thing
eggshell	Thing
ejaculation	phenomenon_n1
el	social_group_n1
eland	animal_n1
elastic	artifact_n1
elbow	body_part_n1
eld	period_n1
elder	person_n1
electrician	person_n1
electricity	phenomenon_n1
electrolyte	substance_n1
electromagnet	device_n1
electron	Thing
electronics	knowledge_n1
element	element_n2
elephant	animal_n1
elevation	event_n1
elevator	device_n1
elf	knowledge_n1
elimination	action_n1
elk	animal_n1
ellipse	shape_n2
elm	plant_n2
elongation	property_n3
elucidation	event_n1
embarrassment	feeling_n1
ember	Thing
emblem	artifact_n1
embodiment	person_n1
embryo	plant_n2
embryology	knowledge_n1
emerald	material_n1
emergence	event_n1
emergency	event_n1
emigration	action_n1
emirate	location_n1
emission	action_n1
emotion	feeling_n1
emperor	insect_n1
emphasis	state_n4
emphysema	illness_n1
empire	location_n1
employee	person_n1
employment	state_n4
emu	definite_quantity_n1
emulsion	substance_n1
enamel	substance_n1
encyclopedia	artifact_n1
ending	Thing
endoderm	body_part_n1
endometrium	body_part_n1
endoskeleton	body_part_n1
endosperm	plant_part_n1
endospore	plant_part_n1
enemy	social_group_n1
energy	phenomenon_n1
engine	device_n1
engineer	person_n1
enhancer	knowledge_n1
enlargement	action_n1
enterprise	activity_n1
entertainer	person_n1
entertainment	activity_n1
enthusiasm	feeling_n1
entity	Thing
entomologist	person_n1
entomology	knowledge_n1
entrance	artifact_n1
entrepreneur	person_n1
entry	artifact_n1
envelope	artifact_n1
environment	location_n1
enzyme	material_n1
eon	Thing
epicenter	location_n1
epidemiology	knowledge_n1
epidermis	location_n1
epididymis	body_part_n1
epiglottis	body_part_n1
epilepsy	state_n4
epiphyte	plant_n2
episode	event_n1
epistasis	phenomenon_n1
epithelium	body_part_n1
epoch	period_n1
equation	message_n2
equator	location_n1
equilibrium	state_n4
equinox	Thing
equipment	equipment_n1
equivalent	knowledge_n1
era	period_n1
eraser	artifact_n1
erection	state_n4
erg	definite_quantity_n1
ermine	animal_n1
erosion	phenomenon_n1
errand	action_n1
error	event_n1
eruption	event_n1
erythrocyte	Thing
erythropoietin	material_n1
escalator	auditory_communication_n1
esophagus	body_part_n1
essay	written_language_n1
essence	knowledge_n1
establishment	action_n1
estate	Thing
esteem	state_n4
estimation	process_n2
estrogen	substance_n1
estuary	biome_n1
ethane	material_n1
ethanol	material_n1
ethic	knowledge_n1
ethologist	person_n1
ethology	knowledge_n1
eucalyptus	material_n1
euglenid	microorganism_n1
eukaryote	organism_n1
evaluation	event_n1
evaporation	phenomenon_n1
eve	Thing
evening	period_n1
event	event_n1
evergreen	plant_n2
evidence	knowledge_n1
evolution	phenomenon_n1
exactness	quality_n1
exam	event_n1
examination	activity_n1
example	knowledge_n1
excellence	quality_n1
exception	process_n2
excess	property_n3
exchange	phenomenon_n1
excitement	feeling_n1
exclusion	state_n4
excretion	phenomenon_n1
excuse	message_n2
exemplar	knowledge_n1
exertion	activity_n1
exfoliation	phenomenon_n1
exhalation	substance_n1
exhaustion	state_n4
exhibition	activity_n1
existence	state_n4
exocarp	Thing
exon	material_n1
exoskeleton	body_part_n1
exosphere	location_n1
expanse	property_n3
expansion	action_n1
expectancy	feeling_n1
expedition	activity_n1
expenditure	Thing
expense	Thing
experience	knowledge_n1
experiment	activity_n1
experimentation	process_n2
expert	person_n1
expertise	state_n4
explanation	message_n2
exploitation	activity_n1
exploration	action_n1
explorer	person_n1
explosion	event_n1
exposure	property_n3
expression	quality_n1
expulsion	event_n1
extension	Thing
extent	state_n4
extinction	state_n4
extinguisher	device_n1
extraction	phenomenon_n1
extremity	body_part_n1
eye	body_part_n1
eyebrow	Thing
eyeglasses	device_n1
eyelash	Thing
eyelid	body_part_n1
eyepiece	device_n1
eyesight	sense_n3
eyespot	artifact_n1
eyewash	Thing
fabric	artifact_n1
face	body_part_n1
facility	artifact_n1
fact	knowledge_n1
factor	event_n1
factory	artifact_n1
faculty	social_group_n1
failure	event_n1
fairground	location_n1
fairy	knowledge_n1
fairyland	knowledge_n1
faith	quality_n1
falcon	bird_n1
family	social_group_n1
fan	device_n1
fanaloka	animal_n1
fang	body_part_n1
fare	Thing
farewell	message_n2
farm	location_n1
farmer	person_n1
farmhouse	building_n1
farmland	location_n1
farmyard	artifact_n1
fashion	property_n3
fastener	person_n1
fate	event_n1
father	person_n1
fatigue	state_n4
faucet	device_n1
fault	Thing
fauna	Thing
favorite	process_n2
favoritism	knowledge_n1
fawn	animal_n1
fear	feeling_n1
feather	material_n1
feature	knowledge_n1
fecundation	event_n1
feedback	phenomenon_n1
feeder	animal_n1
feeler	body_part_n1
feeling	feeling_n1
feldspar	material_n1
feline	animal_n1
fellow	person_n1
felt	artifact_n1
fen	Thing
fence	artifact_n1
fermentation	phenomenon_n1
fern	plant_n2
ferret	animal_n1
fertilization	event_n1
fertilizer	material_n1
fervour	state_n4
festival	period_n1
fetus	animal_n1
fever	knowledge_n1
fiasco	event_n1
fiber	material_n1
fiberglass	artifact_n1
fibre	material_n1
fibrosis	state_n4
fiction	written_language_n1
fiddle	device_n1
field	location_n1
fife	device_n1
fifties	period_n1
fig	plant_part_n1
fighter	person_n1
figure	Thing
filament	material_n1
file	Thing
filing	Thing
fillet	substance_n1
filling	material_n1
film	event_n1
filtration	phenomenon_n1
fin	body_part_n1
finch	bird_n1
fine	Thing
finger	body_part_n1
fingernail	body_part_n1
fingerprint	written_language_n1
fingertip	location_n1
finish	quality_n1
fir	material_n1
fire	phenomenon_n1
fire-eater	person_n1
firefly	insect_n1
fireman	person_n1
fireplace	artifact_n1
fireweed	plant_n2
firewood	substance_n1
firework	material_n1
firm	social_group_n1
fish	fish_n1
fishbone	body_part_n1
fisher	person_n1
fisherman	person_n1
fishery	location_n1
fishhook	artifact_n1
fission	phenomenon_n1
fissure	shape_n2
fist	body_part_n1
fitness	quality_n1
fixation	state_n4
fixture	artifact_n1
fjord	water_n2
flag	artifact_n1
flagellum	body_part_n1
flagpole	device_n1
flagstaff	artifact_n1
flake	substance_n1
flame	phenomenon_n1
flamingo	bird_n1
flank	body_part_n1
flap	artifact_n1
flapjack	Thing
flash	property_n3
flashlight	device_n1
flask	artifact_n1
flatworm	animal_n1
flavor	process_n2
flavour	process_n2
flaw	state_n4
flea	insect_n1
fleece	material_n1
flesh	body_part_n1
flexibility	property_n3
flick	event_n1
flight	action_n1
flipper	body_part_n1
flock	Thing
floodplain	Thing
floor	artifact_n1
floorboard	artifact_n1
floret	plant_part_n1
floss	artifact_n1
flounder	fish_n1
flour	food_n1
flowchart	Thing
flower	plant_part_n1
flowerpot	artifact_n1
flu	illness_n1
fluctuation	event_n1
flue	artifact_n1
fluff	material_n1
fluid	substance_n1
fluke	phenomenon_n1
fluorine	element_n2
fluorite	material_n1
flurry	phenomenon_n1
flush	event_n1
flute	device_n1
flux	Thing
flycatcher	bird_n1
flyer	message_n2
flytrap	device_n1
flyway	location_n1
foam	shape_n2
fodder	food_n1
fog	phenomenon_n1
foil	artifact_n1
foliage	plant_part_n1
folk	Thing
follicle	body_part_n1
food	food_n1
fool	person_n1
foot	body_part_n1
football	activity_n1
footballer	person_n1
footpath	artifact_n1
footprint	Thing
footstep	sound_n4
footwear	clothing_n1
force	phenomenon_n1
forcefulness	property_n3
forecaster	person_n1
forehead	body_part_n1
forelimb	body_part_n1
forest	Thing
forestry	knowledge_n1
forget-me-not	plant_n2
fork	artifact_n1
formaldehyde	material_n1
formation	formation_n5
former	state_n4
formula	message_n2
fortitude	quality_n1
fortnight	period_n1
fortune	phenomenon_n1
fossa	shape_n2
fossil	Thing
fossilization	phenomenon_n1
foundation	Thing
founder	person_n1
founding	action_n1
fountain	artifact_n1
fowl	bird_n1
fox	animal_n1
foxglove	plant_n2
foxhound	animal_n1
foyer	artifact_n1
fraction	Thing
fracture	shape_n2
fragment	Thing
fragmentation	action_n1
frame	artifact_n1
framework	knowledge_n1
franc	definite_quantity_n1
freckle	artifact_n1
freedom	state_n4
freeman	person_n1
freeway	artifact_n1
freezer	artifact_n1
freight	artifact_n1
frequency	Thing
friar	person_n1
friction	phenomenon_n1
fridge	artifact_n1
friend	person_n1
friendliness	feeling_n1
friendship	state_n4
frigate	transport_n1
fright	feeling_n1
frill	artifact_n1
fringe	shape_n2
frog	animal_n1
frogfish	fish_n1
frond	plant_part_n1
front	location_n1
frost	substance_n1
frown	Thing
fructose	material_n1
fruit	plant_part_n1
frustration	feeling_n1
ft	definite_quantity_n1
fucus	microorganism_n1
fudge	food_n1
fuel	substance_n1
fulcrum	device_n1
fume	phenomenon_n1
function	quality_n1
fund	Thing
funfair	location_n1
fungus	plant_n2
fur	material_n1
furnace	artifact_n1
furniture	artifact_n1
fury	feeling_n1
fusion	event_n1
future	Thing
g	definite_quantity_n1
gabbro	material_n1
gadget	device_n1
gage	measuring_instrument_n1
gala	activity_n1
galago	animal_n1
galaxy	Thing
gale	phenomenon_n1
galena	material_n1
gall	substance_n1
gallery	artifact_n1
gallinule	bird_n1
gallon	definite_quantity_n1
game	animal_n1
gamekeeper	person_n1
gamete	Thing
gametogenesis	phenomenon_n1
gametophyte	plant_n2
gang	social_group_n1
gangplank	artifact_n1
gap	shape_n2
gar	fish_n1
garage	building_n1
garbage	material_n1
garden	location_n1
gardener	person_n1
gargoyle	artifact_n1
garland	artifact_n1
garment	clothing_n1
garter	artifact_n1
gas	phenomenon_n1
gasoline	material_n1
gastroenteritis	illness_n1
gastropod	animal_n1
gate	artifact_n1
gatherer	person_n1
gauge	measuring_instrument_n1
gaur	animal_n1
gauze	artifact_n1
gaze	activity_n1
gazelle	animal_n1
gear	equipment_n1
gecko	animal_n1
gee	definite_quantity_n1
gel	substance_n1
gelatin	material_n1
gemsbok	animal_n1
gender	Thing
gene	Thing
generalist	person_n1
generalization	process_n2
generation	Thing
generator	device_n1
genet	animal_n1
geneticist	person_n1
genetics	knowledge_n1
genie	knowledge_n1
genius	person_n1
genome	Thing
genotype	Thing
gentleman	person_n1
gentleness	Thing
genus	knowledge_n1
geography	knowledge_n1
geologist	person_n1
geology	knowledge_n1
geotropism	phenomenon_n1
geranium	plant_n2
gerbil	animal_n1
gerenuk	animal_n1
germ	microorganism_n1
germination	phenomenon_n1
getaway	event_n1
ghee	food_n1
ghost	knowledge_n1
giantess	knowledge_n1
giardia	microorganism_n1
giardiasis	state_n4
gibberellin	material_n1
gibbon	animal_n1
gift	Thing
gigantism	state_n4
gill	body_part_n1
gin	food_n1
ginger	plant_n2
gingerbread	Thing
ginkgo	plant_n2
giraffe	animal_n1
girder	device_n1
girl	person_n1
gizzard	body_part_n1
glacier	formation_n5
glance	activity_n1
gland	body_part_n1
glare	property_n3
glass	substance_n1
glassware	artifact_n1
glaze	artifact_n1
gleam	property_n3
glee	feeling_n1
glen	formation_n5
glider	transport_n1
glimpse	activity_n1
globe	artifact_n1
globule	shape_n2
glomerulus	body_part_n1
gloom	state_n4
glossary	artifact_n1
glove	clothing_n1
glucagon	substance_n1
glucose	material_n1
glue	material_n1
glutamine	material_n1
glycine	material_n1
glycogen	material_n1
glycolysis	phenomenon_n1
gneiss	material_n1
gnome	knowledge_n1
gnu	animal_n1
go-cart	transport_n1
go-kart	transport_n1
goal	knowledge_n1
goalie	person_n1
goat	animal_n1
goblin	knowledge_n1
goby	fish_n1
god	knowledge_n1
goddess	knowledge_n1
godparent	person_n1
godwit	bird_n1
gold	element_n2
goldeneye	insect_n1
goldfinch	bird_n1
goldfish	fish_n1
golf	activity_n1
gonad	body_part_n1
gondola	transport_n1
gondolier	person_n1
gong	device_n1
gonorrhea	illness_n1
goo	substance_n1
good-by	message_n2
good-bye	message_n2
goodbye	message_n2
goodness	quality_n1
goods	artifact_n1
goody	food_n1
goose	bird_n1
gooseberry	plant_n2
gopher	animal_n1
goral	animal_n1
gorge	location_n1
gorgonzola	food_n1
gorilla	animal_n1
gospel	knowledge_n1
gossip	auditory_communication_n1
government	social_group_n1
governor	person_n1
gown	clothing_n1
grace	property_n3
grade	social_group_n1
grader	person_n1
gradient	Thing
graduate	person_n1
graffito	artifact_n1
grain	material_n1
gram	definite_quantity_n1
gramophone	device_n1
gran	person_n1
grandad	person_n1
grandchild	person_n1
granddaughter	person_n1
grandfather	person_n1
grandma	person_n1
grandmother	person_n1
grandpa	person_n1
grandparent	person_n1
grandson	person_n1
granite	material_n1
grannie	person_n1
granny	person_n1
grape	plant_part_n1
grapefruit	plant_n2
graph	Thing
graphite	element_n2
grass	biome_n1
grasshopper	insect_n1
grassland	location_n1
