QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
1.00	most	cat	possess	hair	Most cats possess hair.	1.00	y	n	n	animal_n1	Thing	a56310
1.00	most	cat	walk on	paw	Most cats walk on paws.	0.50	y	n	n	animal_n1	body_part_n1	KBCompletion
0.91	most	cat	eat	meat	Most cats eat meat.	1.00	y	n	n	animal_n1	substance_n1	a84717|a84718
0.91	most	cat	feel	touch	Most cats feel touch.	1.00	y	n	n	animal_n1	event_n1	a18279
0.91	most	cat	give birth to	kitten	Most cats give birth to kittens.	1.00	y	n	n	animal_n1	animal_n1	a17536|a17537|a17538|a17539|a17540|a17541|a17542|a17543|a17544|a17545|a51750|a51751
0.91	most	cat	has-part	face	Most cats has-part faces.	0.67	y	n	n	animal_n1	body_part_n1	a42121|a42122
0.91	most	cat	has-part	muscle	Most cats has-part muscles.	1.00	y	n	n	animal_n1	body_part_n1	a28524|a28525|a28526
0.91	most	cat	has-part	nose	Most cats has-part noses.	1.00	y	n	n	animal_n1	body_part_n1	a84321|a84322|a84323
0.91	most	cat	has-part	stomach	Most cats has-part stomachs.	1.00	y	n	n	animal_n1	body_part_n1	a32508
0.91	most	cat	hunt	prey	Most cats hunt prey.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.91	most	cat	possess	fur	Most cats possess fur.	0.67	y	n	n	animal_n1	material_n1	a53768|a53769|a53770
0.91	most	cat	stand on	leg	Most cats stand on legs.	1.00	y	n	n	animal_n1	body_part_n1	KBCompletion
0.91	most	cat	walk on	foot	Most cats walk on feet.	0.50	y	n	n	animal_n1	body_part_n1	KBCompletion
0.84	most	cat	catch	bird	Most cats catch birds.	1.00	y	n	n	animal_n1	bird_n1	a19250|a19251|a19252|a19253|a19254|a19255|a19256|a19257|a19258
0.84	most	cat	encounter	people	Most cats encounter people.	1.00	y	n	n	animal_n1	Thing	a34893|a34894
0.84	most	cat	follow	prey	Most cats follow prey.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.84	most	cat	has-part	brain	Most cats has-part brains.	1.00	y	n	n	animal_n1	body_part_n1	a34839|a34840
0.84	most	cat	has-part	eye	Most cats has-part eyes.	0.67	y	n	n	animal_n1	body_part_n1	a41209|a41210|a41211|a41212|a41213|a41214
0.84	most	cat	has-part	jaw	Most cats has-part jaws.	1.00	y	n	n	animal_n1	body_part_n1	a60996
0.84	most	cat	has-part	leg	Most cats has-part legs.	1.00	y	n	n	animal_n1	body_part_n1	a18286|a18287
0.84	most	cat	has-part	skin	Most cats has-part skin.	0.67	y	n	n	animal_n1	body_part_n1	a46502|a46503|a46504
0.84	most	cat	kill	rat	Most cats kill rats.	1.00	y	n	n	animal_n1	animal_n1	a61730|a61731|a61732|a61733|a61734|a61735
0.84	most	cat	move	tail	Most cats move tails.	1.00	y	n	n	animal_n1	body_part_n1	a24320
0.84	most	cat	play in	house	Most cats play in houses.	1.00	y	n	n	animal_n1	building_n1	KBCompletion
0.84	most	cat	possess	coat	Most cats possess coats.	1.00	y	n	n	animal_n1	clothing_n1	a54107|a54108
0.84	most	cat	possess	gene	Most cats possess genes.	1.00	y	n	n	animal_n1	Thing	a60172
0.84	most	cat	possess	reflex	Most cats possess reflexes.	1.00	y	n	n	animal_n1	phenomenon_n1	a67280
0.84	most	cat	prefer	food	Most cats prefer food.	1.00	y	n	n	animal_n1	food_n1	a33089|a33090|a33091
0.84	most	cat	relate to	cat	Most cats relate to cats.	1.00	y	n	n	animal_n1	animal_n1	a47489
0.84	most	cat	require	air	Most cats require air.	1.00	y	n	n	animal_n1	substance_n1	a56820
0.84	most	cat	require	food	Most cats require food.	1.00	y	n	n	animal_n1	food_n1	a64975|a64976|a64977
0.84	most	cat	require	habitat	Most cats require habitats.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.84	most	cat	require	leg	Most cats require legs.	0.67	y	n	n	animal_n1	body_part_n1	KBCompletion
0.84	most	cat	seek	mouse	Most cats seek mice.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.84	most	cat	share	residence	Most cats share residences.	1.00	y	n	n	animal_n1	location_n1	a79000
0.84	most	cat	swallow	food	Most cats swallow food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.84	most	cat	wait for	food	Most cats wait for food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.84	most	cat	watch	mouse	Most cats watch mice.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.75	most	cat	catch	prey	Most cats catch prey.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.75	most	cat	develop	hair	Most cats develop hair.	1.00	y	n	n	animal_n1	Thing	a43233
0.75	most	cat	eat	dinner	Most cats eat dinner.	1.00	y	n	n	animal_n1	food_n1	a13575
0.75	most	cat	eat	fish	Most cats eat fish.	1.00	y	n	n	animal_n1	fish_n1	a3823
0.75	most	cat	eat	mouse	Most cats eat mice.	1.00	y	n	n	animal_n1	animal_n1	a20020|a20021|a20022|a20023|a20024|a20025|a20026|a20027|a20028|a20029|a20030|a20031|a20032|a20033|a20034|a20035|a20036|a20037|a29073|a29074
0.75	most	cat	feel	air	Most cats feel air.	1.00	y	n	n	animal_n1	substance_n1	KBCompletion
0.75	most	cat	give birth to	cat	Most cats give birth to cats.	1.00	y	n	n	animal_n1	animal_n1	a52175|a52176
0.75	most	cat	has-part	anus	Most cats has-part anuses.	1.00	y	n	n	animal_n1	body_part_n1	a3101
0.75	most	cat	has-part	foot	Most cats has-part feet.	1.00	y	n	n	animal_n1	body_part_n1	a35746
0.75	most	cat	has-part	gut	Most cats has-part guts.	1.00	y	n	n	animal_n1	body_part_n1	a47586
0.75	most	cat	has-part	paw	Most cats has-part paws.	1.00	y	n	n	animal_n1	body_part_n1	a68233
0.75	most	cat	has-part	skeleton	Most cats has-part skeletons.	1.00	y	n	n	animal_n1	body_part_n1	a25944
0.75	most	cat	has-part	tail	Most cats has-part tails.	0.33	y	n	n	animal_n1	body_part_n1	a23944|a23945|a23946|a23947|a23948|a23949|a23950
0.75	most	cat	hunt	animal	Most cats hunt animals.	1.00	y	n	n	animal_n1	animal_n1	a35969
0.75	most	cat	hunt	rat	Most cats hunt rats.	1.00	y	n	n	animal_n1	animal_n1	a74015|a74016
0.75	most	cat	like	dinner	Most cats like dinner.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.75	most	cat	play in	home	Most cats play in homes.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.75	most	cat	possess	body	Most cats possess bodies.	1.00	y	n	n	animal_n1	Thing	a40950
0.75	most	cat	possess	mane	Most cats possess manes.	1.00	y	n	n	animal_n1	Thing	a70601
0.75	most	cat	prefer	mouse	Most cats prefer mice.	1.00	y	n	n	animal_n1	animal_n1	a63186|a63187
0.75	most	cat	receive	food	Most cats receive food.	1.00	y	n	n	animal_n1	food_n1	a32220
0.75	most	cat	receive	meal	Most cats receive meals.	1.00	y	n	n	animal_n1	food_n1	a56874
0.75	most	cat	receive	milk	Most cats receive milk.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.75	most	cat	require	nutrition	Most cats require nutrition.	1.00	y	n	n	animal_n1	phenomenon_n1	a41130
0.75	most	cat	require	tooth	Most cats require teeth.	1.00	y	n	n	animal_n1	body_part_n1	a25166
0.75	most	cat	roam	environment	Most cats roam environments.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.75	most	cat	seek	meal	Most cats seek meals.	1.00	y	n	n	animal_n1	food_n1	a37767
0.75	most	cat	steal	food	Most cats steal food.	1.00	y	n	n	animal_n1	food_n1	a66417
0.75	most	cat	want	home	Most cats want homes.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.75	most	cat	want	prey	Most cats want prey.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.75	most	cat	watch	bird	Most cats watch birds.	1.00	y	n	n	animal_n1	bird_n1	a11889
0.70	most	cat	roam	habitat	Most cats roam habitats.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.67	most	cat	carry	gene	Most cats carry genes.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.67	most	cat	chase	food	Most cats chase food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.67	most	cat	chase	mammal	Most cats chase mammals.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.67	most	cat	collect	food	Most cats collect food.	0.67	y	n	n	animal_n1	food_n1	KBCompletion
0.67	most	cat	eat	protein	Most cats eat proteins.	1.00	y	n	n	animal_n1	substance_n1	a27921
0.67	most	cat	give birth to	offspring	Most cats give birth to offspring.	1.00	y	n	n	animal_n1	person_n1	KBCompletion
0.67	most	cat	grow	hair	Most cats grow hair.	0.67	y	n	n	animal_n1	Thing	KBCompletion
0.67	most	cat	has-part	bone	Most cats has-part bones.	1.00	y	n	n	animal_n1	body_part_n1	a26916
0.67	most	cat	has-part	extremity	Most cats has-part extremities.	0.33	y	n	n	animal_n1	body_part_n1	a60986
0.67	most	cat	has-part	lid	Most cats has-part lids.	1.00	y	n	n	animal_n1	body_part_n1	a22869|a22870|a22871|a22872
0.67	most	cat	has-part	tongue	Most cats has-part tongues.	1.00	y	n	n	animal_n1	body_part_n1	a84796
0.67	most	cat	hunt	mouse	Most cats hunt mice.	1.00	y	n	n	animal_n1	animal_n1	a4253
0.67	most	cat	kill	bird	Most cats kill birds.	1.00	y	n	n	animal_n1	bird_n1	a47821|a47822|a47823|a47824|a47825|a47826|a47827|a47828|a47829|a47830|a47831|a47832|a47833|a47834
0.67	most	cat	like	toy	Most cats like toys.	1.00	y	n	n	animal_n1	artifact_n1	a46816
0.67	most	cat	love	food	Most cats love food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.67	most	cat	love	seafood	Most cats love seafood.	1.00	y	n	n	animal_n1	substance_n1	a43329
0.67	most	cat	play in	country	Most cats play in countries.	0.67	y	n	n	animal_n1	location_n1	a69115
0.67	most	cat	possess	antibody	Most cats possess antibodies.	0.67	y	n	n	animal_n1	substance_n1	a55693|a55694|a55695|a55696
0.67	most	cat	possess	heartbeat	Most cats possess heartbeats.	1.00	y	n	n	animal_n1	event_n1	a82283
0.67	most	cat	possess	owner	Most cats possess owners.	1.00	y	n	n	animal_n1	person_n1	a40170
0.67	most	cat	possess	parasite	Most cats possess parasites.	1.00	y	n	n	animal_n1	organism_n1	a51218
0.67	most	cat	prefer	home	Most cats prefer homes.	1.00	y	n	n	animal_n1	location_n1	a6972
0.67	most	cat	receive	gene	Most cats receive genes.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.67	most	cat	require	diet	Most cats require diets.	1.00	y	n	n	animal_n1	food_n1	a41583|a84313
0.67	most	cat	require	stimulation	Most cats require stimulation.	1.00	y	n	n	animal_n1	action_n1	a4802|a4803
0.67	most	cat	require	water	Most cats require water.	1.00	y	n	n	animal_n1	substance_n1	KBCompletion
0.67	most	cat	roam	ground	Most cats roam ground.	1.00	y	n	n	animal_n1	Thing	a79561
0.67	most	cat	share	home	Most cats share homes.	1.00	y	n	n	animal_n1	location_n1	a74842|a74843|a74844
0.67	most	cat	turn into	pet	Most cats turn into pets.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.67	most	cat	want	mouse	Most cats want mice.	1.00	y	n	n	animal_n1	animal_n1	a909
0.60	most	cat	catch	food	Most cats catch food.	0.67	y	n	n	animal_n1	food_n1	KBCompletion
0.60	most	cat	prefer	interaction	Most cats prefer interaction.	1.00	y	n	n	animal_n1	action_n1	a35900
0.60	most	cat	seek	shelter	Most cats seek shelter.	1.00	y	n	n	animal_n1	artifact_n1	KBCompletion
0.58	most	cat	avoid	poison	Most cats avoid poison.	0.67	y	n	n	animal_n1	substance_n1	a81131
0.58	most	cat	bite	mouse	Most cats bite mice.	1.00	y	n	n	animal_n1	animal_n1	a54250
0.58	most	cat	carry	flea	Most cats carry fleas.	0.67	y	n	n	animal_n1	insect_n1	KBCompletion
0.58	most	cat	carry	parasite	Most cats carry parasites.	1.00	y	n	n	animal_n1	organism_n1	a7934|a7935|a7936
0.58	most	cat	catch	fish	Most cats catch fish.	1.00	y	n	n	animal_n1	fish_n1	a314|a315
0.58	most	cat	catch	insect	Most cats catch insects.	1.00	y	n	n	animal_n1	insect_n1	KBCompletion
0.58	most	cat	catch	mammal	Most cats catch mammals.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.58	most	cat	chase	bird	Most cats chase birds.	1.00	y	n	n	animal_n1	bird_n1	KBCompletion
0.58	most	cat	chase	mouse	Most cats chase mice.	1.00	y	n	n	animal_n1	animal_n1	a53703|a53704|a53705|a53706|a53707|a53708|a53709
0.58	most	cat	chase	prey	Most cats chase prey.	1.00	y	n	n	animal_n1	animal_n1	a52826
0.58	most	cat	chase	rat	Most cats chase rats.	1.00	y	n	n	animal_n1	animal_n1	a31370|a31371|a31372|a31373
0.58	most	cat	dig	hole	Most cats dig holes.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.58	most	cat	eat	animal	Most cats eat animals.	0.67	y	n	n	animal_n1	animal_n1	a36097
0.58	most	cat	eat	bird	Most cats eat birds.	1.00	y	n	n	animal_n1	bird_n1	a22053|a22054|a22055|a22056|a22057|a22058|a22059|a22060|a22061|a22062|a22999|a23000|a23001
0.58	most	cat	follow	person	Most cats follow people.	0.50	y	n	n	animal_n1	person_n1	KBCompletion
0.58	most	cat	follow	track	Most cats follow tracks.	0.50	y	n	n	animal_n1	location_n1	KBCompletion
0.58	most	cat	hate	prey	Most cats hate prey.	0.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.58	most	cat	hate	water	Most cats hate water.	0.67	y	n	n	animal_n1	substance_n1	a82897|a82898|a82899|a82900|a82901
0.58	most	cat	hear	dog	Most cats hear dogs.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.58	most	cat	hear	people	Most cats hear people.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.58	most	cat	hunt	food	Most cats hunt food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.58	most	cat	is located in	ecosystem	Most cats are located in ecosystems.	0.67	y	n	n	animal_n1	Thing	KBCompletion
0.58	most	cat	kill	mammal	Most cats kill mammals.	1.00	y	n	n	animal_n1	animal_n1	a44174|a44175|a44176
0.58	most	cat	kill	wildlife	Most cats kill wildlife.	1.00	y	n	n	animal_n1	Thing	a56618|a56619
0.58	most	cat	live in	building	Most cats live in buildings.	0.75	y	n	n	animal_n1	building_n1	a85467|a85468
0.58	most	cat	live in	country	Most cats live in countries.	1.00	y	n	n	animal_n1	location_n1	a2640|a48265
0.58	most	cat	live in	home	Most cats live in homes.	1.00	y	n	n	animal_n1	location_n1	a19189|a43625|a62383|a62384|a63140|a63141|a63142|a63143|a63144
0.58	most	cat	live in	region	Most cats live in regions.	1.00	y	n	n	animal_n1	location_n1	a28458
0.58	most	cat	love	curtain	Most cats love curtains.	1.00	y	n	n	animal_n1	artifact_n1	a19800
0.58	most	cat	love	rat	Most cats love rats.	0.75	y	n	n	animal_n1	animal_n1	a74388
0.58	most	cat	make	animal	Most cats make animals.	0.33	y	n	n	animal_n1	animal_n1	a11355
0.58	most	cat	move	ear	Most cats move ears.	1.00	y	n	n	animal_n1	body_part_n1	a52686
0.58	most	cat	play in	family	Most cats play in families.	1.00	y	n	n	animal_n1	social_group_n1	a42022
0.58	most	cat	possess	ancestor	Most cats possess ancestors.	1.00	y	n	n	animal_n1	person_n1	a61704
0.58	most	cat	possess	family	Most cats possess families.	0.67	y	n	n	animal_n1	social_group_n1	a84959
0.58	most	cat	possess	ovary	Most cats possess ovaries.	1.00	y	n	n	animal_n1	plant_part_n1	a26601
0.58	most	cat	prefer	air	Most cats prefer air.	1.00	y	n	n	animal_n1	substance_n1	KBCompletion
0.58	most	cat	receive	flea	Most cats receive fleas.	1.00	y	n	n	animal_n1	insect_n1	KBCompletion
0.58	most	cat	require	home	Most cats require homes.	0.67	y	n	n	animal_n1	location_n1	a83690|a83691|a83692|a83693|a83694|a83695|a83696|a83697|a83698|a83699|a83700
0.58	most	cat	require	maintenance	Most cats require maintenance.	1.00	y	n	n	animal_n1	action_n1	a1659
0.58	most	cat	return to	owner	Most cats return to owners.	1.00	y	n	n	animal_n1	person_n1	a15165|a15166
0.58	most	cat	seek	companion	Most cats seek companions.	1.00	y	n	n	animal_n1	person_n1	a15737
0.58	most	cat	share	environment	Most cats share environments.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.58	most	cat	sit in	window	Most cats sit in windows.	1.00	y	n	n	animal_n1	artifact_n1	a68089
0.58	most	cat	watch	squirrel	Most cats watch squirrels.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	cat	avoid	people	Some cats avoid people.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.50	some	cat	carry	bacterium	Some cats carry bacteria.	1.00	y	n	n	animal_n1	microorganism_n1	KBCompletion
0.50	some	cat	catch	rat	Some cats catch rats.	1.00	y	n	n	animal_n1	animal_n1	a9531
0.50	some	cat	chase	animal	Some cats chase animals.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	cat	chase	cat	Some cats chase cats.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	cat	chase	frog	Some cats chase frogs.	0.67	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	cat	chase	lizard	Some cats chase lizards.	1.00	y	n	n	animal_n1	animal_n1	a73133
0.50	some	cat	chase	rabbit	Some cats chase rabbits.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	cat	come from	ancestry	Some cats come from ancestry.	0.50	y	n	n	animal_n1	social_group_n1	KBCompletion
0.50	some	cat	come from	breeder	Some cats come from breeders.	0.75	y	n	n	animal_n1	person_n1	KBCompletion
0.50	some	cat	come from	cat	Some cats come from cats.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	cat	enter	home	Some cats enter homes.	1.00	y	n	n	animal_n1	location_n1	a27881
0.50	some	cat	enter	house	Some cats enter houses.	1.00	y	n	n	animal_n1	building_n1	a78525
0.50	some	cat	follow	parent	Some cats follow parents.	1.00	y	n	n	animal_n1	person_n1	KBCompletion
0.50	some	cat	has-part	toe	Some cats has-part toes.	0.67	y	n	n	animal_n1	body_part_n1	a70220|a70221
0.50	some	cat	hear	call	Some cats hear calls.	1.00	y	n	n	animal_n1	artifact_n1	KBCompletion
0.50	some	cat	hunt	bird	Some cats hunt birds.	1.00	y	n	n	animal_n1	bird_n1	a63971|a63972
0.50	some	cat	is inside	environment	Some cats are inside environments.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.50	some	cat	is inside	home	Some cats are inside homes.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.50	some	cat	is inside	house	Some cats are inside houses.	1.00	y	n	n	animal_n1	building_n1	a55310
0.50	some	cat	is inside	structure	Some cats are inside structures.	0.67	y	n	n	animal_n1	artifact_n1	KBCompletion
0.50	some	cat	is located in	shelter	Some cats are located in shelter.	1.00	y	n	n	animal_n1	artifact_n1	a53379
0.50	some	cat	is member of	family	Some cats are member of families.	1.00	y	n	n	animal_n1	social_group_n1	KBCompletion
0.50	some	cat	keep	food	Some cats keep food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.50	some	cat	kill	animal	Some cats kill animals.	0.67	y	n	n	animal_n1	animal_n1	a3046|a23869|a23870|a23871|a23872|a23873|a23874|a23875|a23876|a23877
0.50	some	cat	kill	mouse	Some cats kill mice.	1.00	y	n	n	animal_n1	animal_n1	a39290|a39291|a39292|a39293|a39294|a39295|a39296
0.50	some	cat	like	mouse	Some cats like mice.	1.00	y	n	n	animal_n1	animal_n1	a66631
0.50	some	cat	live in	ecosystem	Some cats live in ecosystems.	1.00	y	n	n	animal_n1	Thing	a8106
0.50	some	cat	live in	neighborhood	Some cats live in neighborhoods.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.50	some	cat	love	milk	Some cats love milk.	1.00	y	n	n	animal_n1	food_n1	a362
0.50	some	cat	love	people	Some cats love people.	0.67	y	n	n	animal_n1	Thing	a73193|a73194|a73195
0.50	some	cat	make	antibody	Some cats make antibodies.	1.00	y	n	n	animal_n1	substance_n1	a65413
0.50	some	cat	make	prey	Some cats make prey.	0.67	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	cat	play in	region	Some cats play in regions.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.50	some	cat	possess	bacterium	Some cats possess bacteria.	1.00	y	n	n	animal_n1	microorganism_n1	a20904
0.50	some	cat	possess	bottom	Some cats possess bottoms.	1.00	y	n	n	animal_n1	location_n1	a31899
0.50	some	cat	possess	home	Some cats possess homes.	1.00	y	n	n	animal_n1	location_n1	a33986|a33987|a33988
0.50	some	cat	possess	sex	Some cats possess sex.	1.00	y	n	n	animal_n1	property_n3	a23253|a23254|a23255
0.50	some	cat	prefer	litter	Some cats prefer litter.	0.75	y	n	n	animal_n1	Thing	a24962|a24963|a24964
0.50	some	cat	receive	dinner	Some cats receive dinner.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.50	some	cat	relate to	animal	Some cats relate to animals.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	cat	require	mineral	Some cats require minerals.	0.75	y	n	n	animal_n1	material_n1	a21658|a85477
0.50	some	cat	require	protein	Some cats require proteins.	1.00	y	n	n	animal_n1	substance_n1	a3712|a46716|a46717|a46718
0.50	some	cat	return to	home	Some cats return to homes.	1.00	y	n	n	animal_n1	location_n1	a75564
0.50	some	cat	seek	home	Some cats seek homes.	1.00	y	n	n	animal_n1	location_n1	a64383|a64384|a64385
0.50	some	cat	seize	animal	Some cats seize animals.	0.67	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	cat	share	ancestor	Some cats share ancestors.	1.00	y	n	n	animal_n1	person_n1	KBCompletion
0.50	some	cat	wait for	prey	Some cats wait for prey.	1.00	y	n	n	animal_n1	animal_n1	a43061|a43062
0.50	some	cat	want to	fish	Some cats want to fish.	0.33	y	n	n	animal_n1	fish_n1	KBCompletion
0.41	some	cat	carry	organism	Some cats carry organisms.	1.00	y	n	n	animal_n1	organism_n1	KBCompletion
0.41	some	cat	catch	animal	Some cats catch animals.	1.00	y	n	n	animal_n1	animal_n1	a28072
0.41	some	cat	catch	mouse	Some cats catch mice.	1.00	y	n	n	animal_n1	animal_n1	a6214|a6215|a6216|a6217|a6218|a6219|a6220|a6221|a6222|a6223|a6224|a6225|a6226|a6227
0.41	some	cat	feel	wind	Some cats feel wind.	1.00	y	n	n	animal_n1	phenomenon_n1	a8181|a8182
0.41	some	cat	hunt	fish	Some cats hunt fish.	1.00	y	n	n	animal_n1	fish_n1	KBCompletion
0.41	some	cat	hunt	insect	Some cats hunt insects.	0.67	y	n	n	animal_n1	insect_n1	KBCompletion
0.41	some	cat	is inside	room	Some cats are inside rooms.	1.00	y	n	n	animal_n1	artifact_n1	a22805|a22806
0.41	some	cat	is located in	Africa	Some cats are located in Africa.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.41	some	cat	kill	chick	Some cats kill chicks.	1.00	y	n	n	animal_n1	bird_n1	a23084
0.41	some	cat	kill	rodent	Some cats kill rodents.	1.00	y	n	n	animal_n1	animal_n1	a69716|a69717|a69718|a69719|a69720
0.41	some	cat	live in	house	Some cats live in houses.	1.00	y	n	n	animal_n1	building_n1	a8781|a53877|a53878|a53879|a53880|a53881|a53882|a58078|a58079|a58080|a73657
0.41	some	cat	love	home	Some cats love homes.	1.00	y	n	n	animal_n1	location_n1	a69332|a77307
0.41	some	cat	love	sound	Some cats love sound.	1.00	y	n	n	animal_n1	sound_v2	a44081
0.41	some	cat	pick up	organism	Some cats pick up organisms.	1.00	y	n	n	animal_n1	organism_n1	a57043
0.41	some	cat	pick up	virus	Some cats pick up viruses.	0.67	y	n	n	animal_n1	microorganism_n1	KBCompletion
0.41	some	cat	play in	city	Some cats play in cities.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.41	some	cat	possess	antigen	Some cats possess antigen.	1.00	y	n	n	animal_n1	substance_n1	a23003
0.41	some	cat	provide	fur	Some cats provide fur.	1.00	y	n	n	animal_n1	material_n1	KBCompletion
0.41	some	cat	receive	stimulation	Some cats receive stimulation.	1.00	y	n	n	animal_n1	action_n1	KBCompletion
0.41	some	cat	relate to	mouse	Some cats relate to mice.	0.67	y	n	n	animal_n1	animal_n1	KBCompletion
0.41	some	cat	roam	city	Some cats roam cities.	1.00	y	n	n	animal_n1	location_n1	a71063|a71064|a71065
0.41	some	cat	roam	region	Some cats roam regions.	1.00	y	n	n	animal_n1	location_n1	a62713
0.41	some	cat	roam	street	Some cats roam streets.	1.00	y	n	n	animal_n1	artifact_n1	a11443
0.41	some	cat	seek	man	Some cats seek men.	1.00	y	n	n	animal_n1	person_n1	a28939
0.41	some	cat	sit on	bed	Some cats sit on beds.	1.00	y	n	n	animal_n1	artifact_n1	a84798
0.41	some	cat	stand in	barn	Some cats stand in barns.	1.00	y	n	n	animal_n1	building_n1	KBCompletion
0.41	some	cat	steal	chicken	Some cats steal chickens.	0.67	y	n	n	animal_n1	bird_n1	KBCompletion
0.41	some	cat	wait for	mouse	Some cats wait for mice.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.41	some	cat	wait for	water	Some cats wait for water.	1.00	y	n	n	animal_n1	substance_n1	KBCompletion
0.41	some	cat	watch	fish	Some cats watch fish.	1.00	y	n	n	animal_n1	fish_n1	a82665
0.41	some	cat	watch	pigeon	Some cats watch pigeons.	1.00	y	n	n	animal_n1	bird_n1	a43694|a43695
0.41	some	cat	wear	collar	Some cats wear collars.	1.00	y	n	n	animal_n1	artifact_n1	a14722|a14723|a14724|a14725|a14726|a14727
0.40	some	cat	play in	group	Some cats play in groups.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.33	some	cat	bite	animal	Some cats bite animals.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.33	some	cat	bite	pet	Some cats bite pets.	0.67	y	n	n	animal_n1	animal_n1	KBCompletion
0.33	some	cat	carry	virus	Some cats carry viruses.	0.67	y	n	n	animal_n1	microorganism_n1	a63079
0.33	some	cat	cross	street	Some cats cross streets.	1.00	y	n	n	animal_n1	artifact_n1	a8956
0.33	some	cat	eat	catfish	Some cats eat catfishes.	1.00	y	n	n	animal_n1	substance_n1	a73856
0.33	some	cat	escape from	carrier	Some cats escape from carriers.	1.00	y	n	n	animal_n1	person_n1	a46365
0.33	some	cat	go to	water	Some cats go to water.	0.67	y	n	n	animal_n1	substance_n1	KBCompletion
0.33	some	cat	hate	shop	Some cats hate shops.	0.67	y	n	n	animal_n1	artifact_n1	KBCompletion
0.33	some	cat	hunt	mammal	Some cats hunt mammals.	1.00	y	n	n	animal_n1	animal_n1	a30800|a30801
0.33	some	cat	hunt	rabbit	Some cats hunt rabbits.	0.67	y	n	n	animal_n1	animal_n1	KBCompletion
0.33	some	cat	hunt	squirrel	Some cats hunt squirrels.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.33	some	cat	is located at	home	Some cats are located at homes.	1.00	y	n	n	animal_n1	location_n1	a45653
0.33	some	cat	kill	livestock	Some cats kill livestock.	1.00	y	n	n	animal_n1	animal_n1	a20723
0.33	some	cat	live on	island	Some cats live on islands.	1.00	y	n	n	animal_n1	Thing	a781
0.33	some	cat	play in	ground	Some cats play in ground.	0.50	y	n	n	animal_n1	Thing	KBCompletion
0.33	some	cat	play in	room	Some cats play in rooms.	1.00	y	n	n	animal_n1	artifact_n1	KBCompletion
0.33	some	cat	receive	haircut	Some cats receive haircuts.	1.00	y	n	n	animal_n1	Thing	a81332
